<one employee	Where was killed	Sudanese region of Darfur>
<the American Widow Project	When was started	Four months after Davis' husband>
<the American Widow Project	When was started	killed,>
<the British Prime Minister	is	David Cameron>
None
<former cop	appeared in court	Johannes Mehserle>
<April 9	is	the election>
<he	speak about	the hikers' plight with President Hugo Chavez,>
<How many French soldiers	were killed	Ten>
<yachts	How long do take to complete	three>
<yachts	How long do take to complete	five years>
<33.7 percent	get	much of the vote did the Christian Democratic Union>
<member of Saddam Hussein's regime still at large,	was	Al - Douri>
<highest ranking former	was	Al - Douri>
<"It wasn't our intention	hurt	Did Israeli prime minister to hurt civilians>
<fight them or	hurt	Did Israeli prime minister to hurt civilians>
<harm them,	hurt	Did Israeli prime minister to hurt civilians>
<the spillage	When did occur	December 22>
<the Deputy Minister	said	step that will not go unanswered,">
<the Deputy Minister	said	"clearly an unfriendly>
<Kaka	scored twice in a	serie>
<Kaka	scored twice in a	serie>
<Whose albums	dominate bestseller charts	Michael Jackson's>
<Auto maker	says plan considered to be the best	formal reorganization is the>
<Auto maker	says plan considered to be the best	way>
<most top - tier candidates	are not on	the ballot,>
<officials	said they were unsure why the man did n't help	himself>
<Jeffs	sentence receive	10>
<the FBI	What was looking for	Parente's business interests>
<the duo	Where was arrested	Accra>
<poisoning	the cause of death of	Litvinenko>
<population	What states grew 2.5 %	Utah>
<Peter Jackson	made	the film>
<the tornado	kill a couple	northeastern Missouri,>
<it had discovered water on the moon,	say	did nasa>
<Julian King,	shot	was to death>
<20	the count of	houses destroyed and people injured ?>
<wounded 23,	the count of	houses destroyed and people injured ?>
<Revolutionary	the name of	Iran 's court>
<the Captain family	going	hell>
<many people	died in the shootings	Two>
<Roger Bergendorff	was is charged with , firearms	possession of toxin>
<more than 50	destroyed	many homes were because of the men>
<the household	cut its carbon footprint by last year	18 percent>
<maintenance is	locking	extremely critical for locking hubs on 4WD vehicles>
<treatment of Armenians in World War	upset	Congress resolution Turkey upset about>
<calling the killing of Armenians by Ottoman Turks genocide	upset	Congress resolution Turkey upset about>
<David Goldman	took son to in 2004	Brazil>
None
<the U.S.	say	Al-Shabab>
<Who	were co - winners of The Narcissist Award	Sen. Tom Harkin,>
<Who	were co - winners of The Narcissist Award	Sen. Robert Byrd,>
<the professor	walk with	a cane>
<resources	stretched	is to the limit>
<40 people	heard	the speech>
<the snowstorms expected to continue	Into when are	Saturday morning,>
<Al - Maqdessi the leader of	what was	Jund Ansar Allah,>
<University of	shot	was dead>
<Taylor Bradford,	shot	was dead>
<Memphis football player	shot	was dead>
<A	shot	was dead>
<30-day jail term	sentenced	amount of time was she to>
<the visitors	see	a message in Farsi saying, "Access to this site is not possible,">
<than 50	abducted	many children have been in Haiti>
<More	abducted	many children have been in Haiti>
<12-year-old	beaten	age was the boy by classmates>
<Michael Ventrella,	name	the deejay 's>
<Crystal Bowersox,	beat	did Dewyze>
<David Miliband	called	for reconciliation>
<the zoo	where is located	Kushiro>
<Underground City,	built	was in the 1970 's as a giant bomb shelter>
<the Treacle	What type of teahouse	no-nonsense proper British>
<President Umaru Yar'Adua,	reported	was dead>
<Pamela Stephenson	is	Billy Connolly>
<Annie Le's	found	's body was>
<David Frum	say	In the very short run, our course is>
<the justice mister	say	King Abdullah issued a royal pardon Monday>
<Thomas Blue Sr.,	convicted	was>
<Judson Hartley Talbert,	convicted	was>
<Thomas Blue Jr.,	convicted	was>
<the border crossings	Where are	Gaza>
<Jaime Andrade	tortured	was for days>
<the film	contain sex scenes	distinct lack of on-screen>
<21.41 seconds	the new mark set by Sullivan in	the Australian Olympic trials>
<Friday,	is	the first court appearance for Stiles>
<Lee Jung-Su	claims	his second gold>
<Albert Stanley, KBR's former chief executive officer,	convicted	was of bribery>
<book	" a particular pant - belt " to beat himself says	John Paul II>
<book	" a particular pant - belt " to beat himself says	Pope>
<depletion of forests	prevent	does sustainable forestry to prevent>
<Perlitz	faces how many counts	10>
<mid-2006,	did	Blackwater 's involvement in the program end>
<the bigges middle - class issues	What are	Housing>
<the bigges middle - class issues	What are	Health>
<he	Where was found dead	Nahr-e Saraj District of Helmand Province,>
<the man	Where was arrested	Ogbo,>
<Maurizio De Feo,	founded	the team>
<the third - grader	What year did disappear	1985,>
<What demographic	has become more diverse	black population in America>
<What	could become the next drug war hot spot	Guadalajara>
<many requests	awaiting digital evidence analysis	353>
<many passengers	were on Flight 39	231>
<What instrument	is Martin accomplished at	banjo>
<relations	normalize	would the Swiss - mediated deal>
<the UN Goodwill Ambassador	is	Jolie,>
<the UN Goodwill Ambassador	is	Angelina>
<Miss USA	the name of	the pageant>
<Pope Benedict XVI	spoke to	Shmuley Boteach>
<Salvador Cabanas	shot	was in the head>
<National Park Service	established	an official collection>
<4-year-old	the age of	his son>
<percentage of working dads	quit jobs	37 percent>
<Director	is	Antoine who is>
<21	died	many militants>
<Frederic Piquionne	scored	the goals>
<Valentine's Day	the list of	13 spots for>
<romantic	the list of	13 spots for>
<employs 15,000	employed	many workers are by JLR>
<Which airline	has a GPS - based air traffic control system	Alaska Airlines),>
<the patrol craft	respond to	a distress call,>
<a	the definition of	a premature infant>
<By	the definition of	a premature infant>
<Listeria monocytogenes	killed	William Beach>
<capital city, Copenhagen	one of the greenest cities in	Europe>
<Denmark's	one of the greenest cities in	Europe>
<the strike	How long is	48-hour>
<Michael Mills	says   " We built together "	something extraordinary>
<stripped striking cabin	do	did BA to do>
<CNN	found stimulus funds are not used for the train but instead is used for what	a massive flood-control project>
<CNN	found stimulus funds are not used for the train but instead is used for what	massive flood-control project>
<Reality TV show	was on	"Big Brother">
<Haiti's	was	the earthquake>
<Macon	did	did students from former segregated schools>
<Monday	was	he there>
<Army officials	hopes to increase number of in the field	mental health providers>
<Dutch passenger	did	did the police>
<aircraft	did	did the police>
<"completely surprised"	say	does he>
<Oguchi Onyewu,	is the first U.S .- born player to be signed by	AC Milan>
<Christopher Drotleff	charged	has been with murder>
<Justin Cannon	charged	has been with murder>
<Sharif Mobley	one of 11	al Qaeda suspects>
<JetBlue	mentioned	Which airlines were>
<all our	engineered	to Geisinger CEO , who re - engineered the care>
<from beginning	engineered	to Geisinger CEO , who re - engineered the care>
<end," Dr. Glenn Steele, president and	engineered	to Geisinger CEO , who re - engineered the care>
<of	engineered	to Geisinger CEO , who re - engineered the care>
<the boy	tell CNN	"They beat me with a shovel, they pulled my teeth out with pliers, they would go like this and pull it,">
<United	beat last weekend	Chelsea>
<Thomas is single, although he has been married five times,	say	did police>
<While he served about 12 years in prison between 1955 and the late 1970s for his previous convictions, he has no record since his last arrest in 1978,	say	did police>
<One summer night in 2004,	slain	Fox slain>
<the Video	showed	the drivers,>
<the show	go on air	November 10, 1969,>
<the CDC	What receive on Friday	flu>
<the CDC	What receive on Friday	candidate vaccine virus for swine>
<Iran	is celebrating the 31st anniversary of	the Islamic Revolution>
<a veggie burger topped with crispy strips of bacon.	is	Fatburger 's Hypocrite>
<a	Is	the number of tourists a record>
<for the city,	Is	the number of tourists a record>
<Christine Beatty	much fined	$100,000>
<More than 4,000 artifacts, including ceramic shards, bricks used for ballast, cannonballs and stone anchors	found	was near the wreck>
<the death toll at	What is	12 people>
<President Obama	want	issues like jobs, education and health care,>
<is marked with white lights while the	the difference between	runway and taxiway>
<what city	In is	Rio>
<health and retirement	benefits where not extended to	same sex partners>
<stunt pilot,	killed	was>
<Greene	say about athletes	difference between>
<Kevin Spacey	would love to revive the headline nightclub act in	Las Vegas>
<the Ecuadorian	When was beaten	Saturday,>
<percent of Gulf	the new restrictions covering	19>
<central Florida	was	this>
<Legia	thrown	was out of the Intertoto Cup>
<Adam Davies	the name of	Jodan Belfi 's character>
<Which areas	are singled out	Italy, Taiwan, Hong Kong>
<Which areas	are singled out	Israel,>
<amount	go toward smoking cessation programs	$75 million>
<vegan	diet	your>
<down only 3.5 percent,	2Q GDP	Singapore 's>
<3.5 percent,	2Q GDP	Singapore 's>
<26	was	age he>
<Ray Gravell	died	aged 56>
<Henri,	the names of	Lou Sulola 's siblings>
<Johan,	the names of	Lou Sulola 's siblings>
<Leni,	the names of	Lou Sulola 's siblings>
<country	says it helped finance the insurgency against U.S. troops in Iraq	The>
<country	says it helped finance the insurgency against U.S. troops in Iraq	military>
<77	was	the percent>
<Obama	ran as a what	Democratic candidate,>
<the teacher	find	a mysterious and unique object some observers are calling a "cosmic ghost">
<Steven Gerrard	cleared	was by a Liverpool court>
<eighth	supporting	many men have been on charges of supporting terrorism>
<the service	many marriages boast	2,000>
<Which province	hundreds of people killed across	North West Frontier>
<opening ceremony in Beijing,	say	did bush>
<he	in what manner interfer	allegedly became intoxicated and unruly,>
<Jackson	What said about his father	criticized>
<seven	compete	many Iraqis were to compete in these Olympics>
<Nodar Kumaritashvili	was at the time of his death	21,>
<funding	come from	supporters in neighboring Pakistan and>
<they	many incidents tracked	at least 11>
<Ahmed bin Said bin Omar al-Mashjari	planted	the bomb>
<The girl	examined	is being by a doctor>
<Afghanistan	killed	was soldier>
<surgeons	what is causing to amputate more quickly	no technology>
<$149,	the cost of	the new kindle>
<police	visit the actor 's home For what reason	civil disturbance call,>
<Who	was on NBC 's " Today " show	Steven Tyler's>
<the project	problems have	with the capital markets>
<as the wisecracking youngster Arnold Drummond on TV's "Diff'rent Strokes"	known	Child actor best known for Diff'rent Strokes>
<Adil Othmani	get	sentenced to death>
<Charlie Palmer	are	dining rooms   are steps from the White House>
<The Oval	are	dining rooms   are steps from the White House>
<Bombay Club,	are	dining rooms   are steps from the White House>
<Georhiy Gongadze,	abducted	was in 2000>
<creative people	use	their inventiveness>
<AC Milan's	does play for	Which team>
<AC Milan's	does play for	Which team>
<--People	is at	high risk for death due to Cholera>
<have HIV or are malnourished	is at	high risk for death due to Cholera>
<country	has a lot at stake	Mexico>
<iTunes]	is	comic available digitally>
<overnight fire	killed	chicks in 2009>
<Jill Haugen	leaving	is of illegally leaving Washington state>
<trying to fly 103 children out of Chad in a kidnapping and adoption operation.	the cause of	the arrests>
<Rep. Gabrielle Giffords	what is	D-Arizona,>
<Yang	will have   seat on	the board>
<the sheriff	What is reported as saying	The dead were identified as James Shore of Milwaukee, Wisconsin, and Kirby Brown of Westtown, New York,>
<If	approve	must parliament>
<does not	approve	must parliament>
<373	killed	many people flooding in Thailand has>
<Quid pro quo	refers to what	"You scratch my back, I'll scratch yours">
<serious but stable	the condition of	the person who was hospitalized>
<it	What kind of storm	tornado>
<the estimated losses	What are	$6 million>
<Kessler	defeated	Carl Froch>
<Mikkel	defeated	Carl Froch>
<a wonder woman	is	did diane von furstenberg say inside of us>
<32-year-old	the ages of	Two sisters and a cousin>
<27,	the ages of	Two sisters and a cousin>
<34	the ages of	Two sisters and a cousin>
<16 Pakistan army soldiers	killed	was>
<"The case also involves the lack of investigation of complaints of torture presented by Mr. Velez Loor before the Panamanian authorities, as well as the inhumane conditions of detention under which he was held in several Panamanian penitentiaries,"	say	did Commission>
<Angelou	believe politicians should raise the level of discussion	In the chapter called "National Spirit,">
<Angelou	believe politicians should raise the level of discussion	the>
<Angelou	believe politicians should raise the level of discussion	of>
<the Defense Secretary	is	Robert Gates>
<his lips	move	will>
<incredibly slim,	the chances of	U.S. airlines falling in>
<the patient	say	he didn't even realize he was a part of a health care co-op.>
<Ruben Kruger	named	was the player of the year>
<hamlets	affected	were by recent mudslides in India>
<three	affected	were by recent mudslides in India>
<Clifton Davis	sang Never Can Say	Goodbye>
<Three	the number of	people arrested>
<prepares	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<the	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<is	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<around	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<during the	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<New Delhi	host	In what city will the Commonwealth Games be to host 100,000 tourists>
<no	is	the pilot>
<handshakes	spreading	spreading the flu virus>
<economics reporter	the job position for	Kelly Evans>
<Honduran President Jose Manuel Zelaya	ousted	was>
<the flight number	What was	447>
<Spider-Man	was	character his favorite>
<how many soldiers	have died	four>
<manufacturing	located	kind of plant will be in California>
<Which media	reports the priest abused up to 200 children	The New York Times>
<Mark Becker,	is facing	murder charges>
<the dq for	what was	tested positive>
<the dq for	what was	synthetic testosterone,>
<the court	What is told	eBay,>
<the court	What is told	worldwide network of fraudsters conned thousands of people into buying fake golf clubs on>
<activist,	was	Dennis deLeon>
<172,	hit	the cessna 150>
<of methamphetamine and $7.8 million in cash	seized	much was>
<44 firearms, 650 pounds of marijuana, 435 pounds	seized	much was>
<All airports in the south are	operating	will be>
<normally	operating	will be>
<election board	the winner of	mayoral runoff>
<Lance Armstrong	brought a Scottish town center to on Tuesday	a standstill>
<Mitchell	is travelling to	syria>
<What did n't Spirit Airlines	knw	when we'll be able to get flights in and out,">
<Hinckley president of	What was	Church of Jesus Christ of Latter-day Saints,>
<hospital floors that always have enough	be	would the best gift for nurses>
<14	found	many were dead in the immigration centre>
<the heavy fight	where was	capital,>
<the heavy fight	where was	northeastern Mogadishu,>
<the heavy fight	where was	Somalia's>
<the school mostly white	In what year was	1957,>
<CEO,	job title	Tim Cook 's>
<Her adoptive mother,	is	in custody>
<Afghanistan	having	which place is as having pockets of war and peace>
<57	killed	many were>
<A second tornado	injuring	Colonial Heights injuring at least 18 people>
<AIG Corp,	bailed	was out>
<Mugabe	ruled the country	28 years>
<Four	killed	were>
<people,	killed	were>
<new guidance	Where has been issued	U.S. bases across Afghanistan,>
<the lawmaker	say	the Holocaust,>
<the lawmaker	say	Israeli military action in Gaza is comparable to that of German soldiers during>
<the Prince	Where did also visit	Kabul,>
<the boy	type of leg get	prosthetic>
<they	what were victorious in	The fight>
<the vice chancellor	believe Honduras is prepared to withdraw from OAS	was ready>
<the vice chancellor	believe Honduras is prepared to withdraw from OAS	leave the>
<Sen. John McCain,	challenged Paul over	the suggestion to bring more troops home from Iraq>
<the death count	What is	67>
<Courageous	the name of	the fishing vessel>
<Windsor	owned	real estate company>
<Bruce	owned	real estate company>
<the Players Championship	Where is being held	Sawgrass>
<Liza Murphy	name	the disappeared woman 's>
<Daniel,	noticed the Hollywood Walk of typo	Fame>
<the multiple breaks	Where were	collarbone>
<the fastest yacht	What is over 500 meters	L'Hydroptere>
<Liz Smith	Where will write now	wowOwow.com,>
<hamilton	was during the accident	the safety car>
<hamilton	was during the accident	behind>
<he	term use	geek>
<the hostages freed	What day were	Wednesday>
<government rank	Abhisit hold in Thailand	Prime Minister>
<many	gathered in Chicago	tens of thousands>
<the President of Athletics	admit	gender tests on runner Caster Semenya>
<2,200	slain	many people slain in Juarez>
<Ganic vice president	When was	between 1992 and 1995,>
<Lance Armstrong,	drops	to fourth>
<Protesters	broke the windshield of what vehicle	bus>
<pilot	dealt with an emergency	Chesley B. "Sully" Sullenberger>
<bacon	die of	aggressive melanoma>
<Mugabe's	failing	Whose government is>
<The population	shrank from 20,000 to what	fewer than 3,000>
<Jose Sucuzhanay	When was beaten	December 7>
<Mayweather Jr	claim	Manny Pacquiao>
<Mayweather Jr	claim	he will knock out WBO welterweight world champion>
<the fans	What were registering for	tickets">
<Matthew Hoh	resigned after saying he did n't believe in	the war>
<parents	How much spend for diapers	$1,500>
<Bharti	acquire a 49 percent stake in what	MTN,>
<the government	What are responding to	a spate of attacks allegedly by a drug cartel,>
<Charlie Neitzel,	begged	tyler peterson>
<she	accuse a fellow soldier of	rape>
<Carly Fiorina	was the first woman to lead	fortune 500 company>
<Britain's News of the World tabloid	made	Agains which newspaper have allegations been>
<90	the number of killed in	airstrike>
<Swat Valley region	a popular destination for	tourists and skiers>
<93-year-old	is	age the evangelist>
<Which album	was from	Palmer>
<Which album	was from	Rissi>
<Woods	What say on his website	"I>
<Tetsuya's	ranked	is 4th best in the world>
<changes in currents and water temperature	led	may have the birds off course>
<they	movie making a sequel of	"Sex and the City">
<own bottle of wine	bring	should you not to bring>
<crashed on its third	attempt	many times did the plane to land>
<Mexican soldiers, in trucks and helicopters	kept watch over	Acapulco>
<Modesta Navarro Nieves and her husband	did	Santiago Iniquez Olivares bludgeon>
<the ferry capable of carrying	How much was	1,500>
<Southern Poverty Law Center	studied New York county after	the slaying>
<the company	say	Three>
<Thurmond	With what charged has be charged with	rape and a host of other felonies,>
<Vitamin injections	where are are popular	Tokyo>
<Sam Warburton	is	Wales captain>
<imprisoning his	did	did Fritzl>
<daughter for 24 years and fathering seven of her children,	did	did Fritzl>
<the altercation	what was about	the music that>
<How many people	have been indicted and prosecuted	20>
<Rioting	happened	in Northern Ireland>
<Irwin	is the name of	Lisa>
<the Indonesian study	say	Indonesia>
<the name of	What is her non - profit	Rising Tide Capital,>
<British Airways and Unite	fighting	's been>
<Grenada	spice provide a third of the world 's supply	nutmeg>
<CNN	went from to another	one earthquake zone>
<Raghad Hussein	is living in	Jordan>
<roads and streets	block	did criminals>
<the camp	Where is located	Winder, Georgia,>
<soccer player	say	"It's>
<soccer player	say	"I was born poor,">
<soccer player	say	"But things are getting>
<soccer player	say	a>
<soccer player	say	killer>
<soccer player	say	disease,">
<The signing	came	after nearly two days of talks>
<straps	caused	controversy>
<a revealing black-lace corset dress with bright red	caused	controversy>
<Selma Blair,	wore	huge prosthetic boobs>
<"Body Works"	the name of	the exhibit>
<1993,	been	when have they been on the decline>
<Nepal	is picking	their country 's first president>
<Two people	were	there any injuries>
<The Aztecs,	ruled an empire stretching from to the Pacific Ocean	the Gulf of Mexico>
<Pakistani	allowing	Which government is for allowing security in Swat>
<not	say	did Archdiocese>
<Jim Tuckwell	remembers the horrors of	war and fallen comrades>
<Sniper Lee Boyd Malvo	the name of the person who wrote a letter to	CNN>
<Seven children and two teachers were killed	happened	in the collapse>
<Barack	a big hit among	Obama supporters>
<action figure:	a big hit among	Obama supporters>
None
<Steven Gerrard	deny	assaulting a man>
<Steven Gerrard	deny	during a nightclub brawl last month,>
<bail set at	How much is	$1 million>
<bail set at	How much is	$5 million>
<General Motors	announced	plans to shut down the Saturn brand>
<How many women	were killed	three>
<also	search	will officers>
<contraband	smuggled	was being>
<drugs and other	smuggled	was being>
<KXII-TV	documented	the surrender>
<"24"	does	television drama does Kiefer Sutherland in>
<she	In what program and service participate	in a year-long psychiatric>
<she	In what program and service participate	spend 250 hours in community>
<anyone	punish	will Pyongyang>
<encroaches upon the sovereignty and dignity of the DPRK	punish	will Pyongyang>
<the orphanages based	Where are	five continents>
<budgeting	do	did the couple and their children to do>
<Meredith Kercher	the name of	the murdered British student>
<Camp Twitch and Shout	What is	a place for youngsters, who>
<Franck Ribery	scored	the winning goal>
<Paul McCartney	What think about his music	we have left really good>
<Jamie Paulin-Ramirez,	accused	was>
<many U.S. states	confirmed cases	36>
<The photos released Thursday show men who look strong and healthy,	say	does government>
None
<Janice Shih	has become the owner of	a catering business>
<Vienna, Austria,	have the highest quality of	life>
<10-year-old boy	faces	murder and arson charges>
<the final score	What was	34-10>
<100	attacked	many vessels were in 2008>
<Ronaldinho	recalled	was to the Barca squad>
<they	How long have been searching	September,>
<she	was on a campaign stop	Portsmouth>
<Gordon Brown	the name of	the UK Prime Minister>
<The House	rejected	rescue plan>
<many countries	did John Paul II visit	over 100>
<the discussion about	What was	they needed versus>
<Police	closed	streets>
<"The Yiddish Policeman's Union"	title	the book 's>
<Nicolas Cage	voices character of the mole in " G - Force "	Speckles>
<David Trezeguet	emitted	was from french squad>
<Zimbabwe	is	country Robert Mugabe the President of>
<Hutchison	serve in the army	22 years>
<Snoop	What say about Beirut	"This is the party capital of the world,">
<Bill Proenze	position hold	National Hurricane Center director>
<Her father	was the organizations first what	SCLC's>
<Her father	was the organizations first what	president.>
<country	In which had	Ireland>
<Vincent Windell,	is now in	custody>
<the nba	apply for	a license that granted Haddadi permission to play>
<Switzerland	were	the 2008 co - hosts>
<Ayatollah Ali Khamenei,	name of	the Supreme Leader>
<the Defense secretary	say	"Focus of the Air Force leadership has drifted">
<Taliban spokesman Azid Tariq	What say about Mehsud	"Hakimullah>
<Taliban spokesman Azid Tariq	What say about Mehsud	is alive and he is our chief,">
<conspiracy to	wanted	is ganic wanted for murder>
<Kashmir	many decades of violence seen	two>
<acute stress disorder	is	his defense>
<how much ice	has melted	1.5 trillion and 2 trillion tons of>
<how much ice	has melted	Between>
<California	is	Modesto>
<the supertanker	From what country was	Saudi-owned>
<the couple	When was first spotted	almost a year ago>
None
<separates	are	perfectly acceptable>
<1999	formed	was international house of prayer>
<Heavy Load	Where did play last week	London>
<Chelsea's Champions League	defeated	was by Inter Milan>
<Hydrochloric acid	irritate	can skin>
<L.K. Chaudhary,	the name of	the murdered boss>
<organization	opposes the rule	The Michigan chapter of the Council on American-Islamic Relations>
<What	are 14 percent suspected of turning to	terrorism activity>
<Katrina	the name of	the hurricane>
<How many jobs	will be supported	60>
<four police officers	killed	was Tuesday>
<one civilian	killed	was Tuesday>
<Joe Stack,	flew his plane into	building>
<Amnesty International	say Ethiopia failed to provide	justice>
<Infantino	issued	a recall>
<Nobel peace prize	receive	did obama>
<the bodies	where were found	Columbia, Illinois,>
<Rihanna,	requested	a no contact order>
<Pat Hingle,	appeared in	many TV series movies>
<allocating key ministries to his own party	violates	the power - sharing agreement>
<"ambush"	violates	the power - sharing agreement>
<many Republican senators	announced retirement	four>
<a continuing Islamic insurgency,	face	does Algeria>
<Aung	meet with	political supporters,>
<Roger Federer	has hailed a shot against	Djokovic>
<195-230,	was	the vote>
<2007	years did win	the tournament>
<2008,	years did win	the tournament>
<Pregnant women	should not recieve	the vaccine>
<Which people	admitted to using ecstasy	Andrew Johns>
<Peshawar	faces	a threat>
<Rihanna,	the name of	Brown 's girlfriend>
<Simone	covered a mining disaster in which year	2006>
<Mogadishu Mayor Mohamed Omar Habeb Mohamed Dhere,	blames	islamists>
<scored for the sixth game in a row	do	did Messi>
<EU forces	role take	escorting United Nations World Food Program vessels>
<Iranian Foreign Minister Manouchehr Mottaki	has expressed concern for	Yemen 's territorial integrity>
<two	the total number of people injured by	Castillo>
<The paper	praises	Barack Obama>
<the ship	leave from	Charleston, South Carolina,>
<The Big Three's financial woes	has	an impact of Michigan economy>
<Greene Correctional Facility,	incarcerated	Were is Jamal>
<Pennsylvania's death row,	incarcerated	Were is Jamal>
<Park Ji-Sung	will   become the first South Korean to play in	the final>
<Pollin survived by	is	his wife, Irene,>
<An estimated 4.5 million U.S. adolescents	smoke	many Americans>
<Dyer and Whitton	did n't show up for	CNN 's " American Morning ">
<Obama	signed a bill repealing it	December 22, 2010,>
<Vladimir Hrinak	will be the fourth official at the Manchester Utd v clash	Chelsea>
<FARC,	blamed	has been for numerous attacks>
<478-carat	is	size the diamond>
<the Africian Union	say	expressed its "grave concern">
<many Chinese Muslims	remain at Gitmo	13>
<Vancouver International Airport,	shot	did the man after Canadian police shot him>
<Electronics makers	is	Hitachi>
<Japan's largest electronics maker,	is	Hitachi>
<Mazen Abdul Jawad	What speak about	his sex life>
<Laurean	left	a note>
<29	killed	many miners were in last week 's explosion>
<foreign	develop	ability of Haitian government to develop>
<relief groups	develop	ability of Haitian government to develop>
<companies pledging	develop	ability of Haitian government to develop>
<rebuild	develop	ability of Haitian government to develop>
<Mexico's new interior minister	has promised	federal support>
<Whose blunder	led to Porto wins over Arsenal	Lukasz Fabianski>
<250,000	saved	number of jobs were>
<matchmaking	running	kind of service the Iranian cleric , and his wife , running>
<the police	do	have brought in five or six relatives and other acquaintances of Maurice Clemmons,>
<the professors names	what are	Elizabeth Midlarsky,>
<Lt. Colonel Mustapha Nooh,	is head of	Tripoli operations>
<What	is not accessible enough	EPA>
<How many adoption cases	have been speeded up	200>
<Janet Jackson	What open about	her brother's death>
None
<the fbi	say	Five men missing from the Washington area are in Pakistani police custody,>
<Kenneth Cole	the name of	the fashion designer>
<Mr. Sohail	is from	Long Island>
<The	examining	FBI has especially aggressive in examining white supremacy groups>
<in	examining	FBI has especially aggressive in examining white supremacy groups>
<The Sun	name of	tabloid>
<The student pilot	survived	the crash>
<officers	looking at Benazir Bhutto International Airport	possible suicide attack>
<U.S. Air Force 224 E-model aircraft	undergo	will inspection>
<Hida Viloria	shared	her experience>
<June 2002,	have	did he last this procedure>
<President Mamadou Tandja	detained	is in the military camp>
<Al - Shabaab	linked	al Qaeda,>
<he remained	remain	did Abdulmutallab calm>
<900	report	many cases of unruly behaviour did FAA>
<many people	applied for a job	1,200>
<the movie	Was a success	fell flat at the box office>
<Which comic	sold for a record $ 2.16 million	A near-pristine copy of Action>
<Which comic	sold for a record $ 2.16 million	#1>
<the passenger	what do on the flight	fire>
<Tiger Woods	How many dollars is fine	$164>
<More than 400	killed	many people were in Nigerian violence>
<What fast food place	is mentioned	McDonald's>
<Tuesday	launch	did it>
<Scion	come with	gadgetry>
<Bai Yun	much weigh	around 300 pounds,>
<a river of mud	damaged	has dozens of Southern California houses>
<it	At what time shown	8 p.m.>
<many	died in the sugar factory blast	75,>
<at least 26	go	many people to go to area hospitals>
<he	work for	US Airways>
<the letter for	was	Bushrod Washington>
<Amy Winehouse	was at the time of this story	24-year-old>
<bears	rely on sea ice	Polar>
<1.6 trillion	the cost of loaf of	bread>
<she	what say about afghanistan	the real>
<she	what say about afghanistan	is more textured>
<President Bush	could use to justify military action	iran>
<seven days	leave	length of time were they to leave>
<number of   Australian soldiers	died in Afghanistan	Four>
<the Australian commando shot	Where was	southern Afghanistan,>
<United	first English team to win	Porto,>
<many hotels	are in the industry	25,000>
<Felipe Massa	suffered	horrific head injuries>
<"They never said they would take away our children,"	say	did father>
<Matt Ember,	said it   exaggerates	many gadgets>
<cholera	mentioned	disease is>
<Monday	resign	did Haarde>
<Chelsea	is leading	the Premier League>
<many college students	came on the trip	12>
<Marwa Sherbini,	killed	was in the courtroom>
<Janet Jenkins	involved	was in the case>
<Karzai	is critical of how aid money is distributed to	his nation>
<CEO of Deutsche Bank	addressed	To whom was the bomb>
<the Barksdale Air Force Base	Where is	Louisiana>
<suspended	happened	happened to the emt>
<Libyans	are still celebrating with	smaller festivities>
<many ships	have pirates capture	50>
<the presidents name	what is	Ian Khama>
<Jimena	sustained winds near what speed	155 mph>
<Valentino Rossi	qualified in	pole position for the Malaysian Moto GP>
<the Army	say	there are times when the military cannot accommodate certain religious practices,>
<two,	died	many people>
<2005	happen	did this>
<five	hospitalized	many were>
<natural resources	the parts of	the portfolio>
<real estate,	the parts of	the portfolio>
<"Let It Roll:	the name of	George Harrison 's new song collection called>
<by	the name of	George Harrison 's new song collection called>
<Harrison,"	the name of	George Harrison 's new song collection called>
<Wilsons' 21-year-old daughter Katie	was	in Haiti>
<family	collecting Lincoln items for generations	Meserve/Kunhardt>
<Lebanese singer	was	suzanne tamim>
<health care coverage	was	on the bill>
<He	says Penn State is the most serious scandal confronted	NCAA President Mark Emmert>
<the jellyfish	Where is being seen >	Sea of Japan,>
<Barry Goldwater	say his quote	1964>
<how many emails	are missing	22 million>
<the case	When did start	1977>
<USS Carl Vinson	items brought	19 heavy-lift helicopters, 51 hospital beds, three operating rooms,>
<Which country	has a cholera crisis	Zimbabwe>
<Thailand 's PM	warning give	more water>
<Thailand 's PM	warning give	would pour into the capital,>
<McCartney	play Tel Aviv	September 25>
<the most famous character	is	Hello Kitty>
<Gabriel Johnson	How long has been missing	since December 26,>
<a man	ran onto	a Heathrow runway carrying a backpack on Thursday>
<Eighty	distributed	percent of the $ 114 billion in federal rebuilding aid has been>
<the American international defender	is	Oguchi Onyewu>
<Mark Lunsford	testified at	sentencing hearing for 9-year - old daughter 's killer>
<12 people	arrested	was>
<the murder	Where did occur	in hospital>
<Jim Cramer	did John Stewart interview on	" The Daily Show ">
<skydiving instructor	was	Brown 's occupation>
<Croatia	beat Austria in	match>
<Roy Bennett	is on	trial for terrorism , banditry , and insurgency>
<city	declared a state of emergency	SAN DIEGO,>
